Zeit;Temperatur;Luftfeuchte;CO2;eCO2;TVOC;PM1;PM2.5;PM4;PM10
403.065;30.21869;30.6013;1328.6086;433.86957;125.04348;0;0;0;0
408.309;30.221298;30.995655;1345.4348;443.73914;122.95652;0;0;0;0
413.552;30.229996;30.938696;1363.3914;432.6087;121.91304;0;0;0;0
418.794;30.253918;30.623041;1369.0869;430.69565;128.04347;0;0;0;0
424.04;30.271315;30.490005;1356;428.17392;130.52174;0;0;0;0
429.205;30.280008;30.613907;1348.826;426.0435;129.78261;0;0;0;0
434.274;30.272612;30.576952;1344.6086;421.6087;131.17392;0;0;0;0
439.445;30.306366;30.593626;1345.1818;413.72726;130;0;0;0;0
444.513;30.306526;30.709135;1347.3043;422.21738;129.78261;0;0;0;0
449.782;30.324541;30.939093;1352.2273;420.22726;130;0;0;0;0
454.953;30.336088;30.833036;1355.3914;407.9565;130.17392;0;0;0;0
460.03;30.363913;30.77653;1358.6086;407.52173;131.73914;0;0;0;0
465.209;30.37182;30.846825;1360.3636;405.04544;130.86363;0;0;0;0
470.282;30.386095;30.84175;1362.4348;400.91306;131.78261;0;0;0;0
475.459;30.390917;30.593641;1361.091;401.13635;133.27272;0;0;0;0
480.541;30.408262;30.531738;1356.4348;400.47827;131.43478;0;0;0;0
485.546;30.409546;30.777729;1352.591;400.95456;126.27273;0;0;0;0
490.552;30.425909;30.88272;1349.2727;402.4091;123.77273;0;0;0;0
495.57;30.454096;30.965454;1349;402.77274;129.95454;0;0;0;0
500.591;30.441816;31.010002;1349.6818;401.86365;126.954544;0;0;0;0
505.606;30.47182;30.98182;1350.8182;403.63635;131;0;0;0;0
510.622;30.483635;30.942732;1351.5;402.13635;129.04546;0;0;0;0
515.845;30.486359;31.039095;1352.8182;401.31818;130.18182;0;0;0;0
520.865;30.504787;31.10609;1354.7826;400.43478;127.95652;0;0;0;0
525.892;30.498634;31.214998;1355.5;400.27274;125.545456;0;0;0;0
531.131;30.510914;31.266363;1357.8182;401.68182;123.954544;0;0;0;0
536.37;30.520004;31.260864;1360.0869;403.34784;126.91304;0;0;0;0
541.61;30.543478;31.444351;1363.7826;400.30435;120.608696;0;0;0;0
546.766;30.557388;32.027832;1385.3914;404.65216;117.17391;0;0;0;0
551.828;30.566954;31.943481;1528.5217;401.08694;122.73913;0;0;0;0
557.093;30.564095;31.693182;1572.5;402.4091;122.72727;0;0;0;0
562.257;30.583042;31.549128;1564.3478;404.65216;122.86957;0;0;0;0
567.32;30.601746;31.522612;1551.3478;404.73914;121.521736;0;0;0;0
572.592;30.604994;31.499548;1539.8636;404.9091;124.5;0;0;0;0
577.758;30.60609;31.637817;1539.4783;402.91306;118.391304;0;0;0;0
582.835;30.611303;31.76217;1539.3478;407.3913;121.478264;0;0;0;0
588.004;30.603638;31.760002;1539.591;401.36365;126.72727;0;0;0;0
593.07;30.619997;31.690443;1539.2609;401.9565;124;0;0;0;0
598.333;30.652277;31.7959;1538.591;409.22726;121.954544;0;0;0;0
603.573;30.653479;31.969557;1540;401.78262;125.26087;0;0;0;0
608.767;30.653471;31.906088;1541.4783;400.17392;123.391304;0;0;0;0
613.769;30.665216;31.92739;1543.6086;400;121.695656;0;0;0;0
618.839;30.679089;31.993176;1545.2273;401.63635;117.454544;0;0;0;0
624.017;30.67;31.946367;1544.3636;402.36365;121.09091;0;0;0;0
629.09;30.68522;31.953478;1545.826;406.86957;120.695656;0;0;0;0
634.277;30.71;32.10409;1545.6364;402.81818;124;0;0;0;0
639.34;30.69435;32.180424;1546.7826;401.0435;118.521736;0;0;0;0
644.516;30.72;32.00499;1546.0454;400.13635;121.77273;0;0;0;0
649.603;30.723482;31.798252;1545.7826;400;119.08696;0;0;0;0
654.609;30.708183;31.992731;1544.6364;400.0909;115.59091;0;0;0;0
659.625;30.70682;32.156372;1544.091;400.0909;113.72727;0;0;0;0
664.816;30.733637;32.077267;1545.7273;400.72726;115.181816;0;0;0;0
669.848;30.710869;32.180435;1547.7826;401.91306;113.304344;0;0;0;0
674.884;30.727724;32.230007;1549.8182;402.95456;113.90909;0;0;0;0
680.119;30.739996;32.165;1550.1818;402.5909;113.63636;0;0;0;0
685.302;30.758268;32.193047;1553.174;402.82608;114.95652;0;0;0;0
690.34;30.759134;32.352165;1559.0435;402.0435;111.608696;0;0;0;0
695.35;30.759092;32.33501;1577.6364;400.68182;112.72727;0;0;0;0
700.551;30.769548;32.359993;1597.091;400.31818;113.954544;0;0;0;0
705.66;30.776962;32.412598;1605.4348;400.6087;106.17391;0;0;0;0
710.838;30.782722;32.339092;1609.8182;401.31818;111;0;0;0;0
715.884;30.781746;32.194786;1613.6086;400.30435;110.73913;0;0;0;0
721.139;30.782726;32.25546;1619.3182;400.5;110.36364;0;0;0;0
726.369;30.786953;32.250877;1620.6957;405.9565;106.95652;0;0;0;0
731.542;30.788256;32.08609;1616.826;404.3913;111.04348;0;0;0;0
736.643;30.787828;32.46913;1615.9131;401.0435;106;0;0;0;0
741.847;30.802732;32.61818;1618.9546;402.45456;104.86364;0;0;0;0
746.866;30.82217;32.924347;1623.2609;402.08694;104.04348;0;0;0;0
751.878;30.81909;32.995003;1628.1818;402;101.72727;0;0;0;0
756.881;30.80545;33.39455;1638.6818;408.18182;101.59091;0;0;0;0
761.928;30.773638;33.65;1672.091;402.0909;103.72727;0;0;0;0
767.168;30.79318;33.340004;1710.1364;400;103.318184;0;0;0;0
772.379;30.814339;33.01435;1704.174;400;101.17391;0;0;0;0
777.381;30.813477;32.835213;1693.6957;400;97.95652;0;0;0;0
782.388;30.834547;32.97954;1687.2273;401.31818;97.09091;0;0;0;0
787.409;30.827734;33.172268;1678.1818;406.0909;99.59091;0;0;0;0
792.432;30.840004;33.3109;1678.1818;400.27274;95.181816;0;0;0;0
797.646;30.835455;34.374557;1690.4546;400.86365;87.13636;0;0;0;0
802.698;30.770876;31.78262;1689.5652;400;89.73913;0;0;0;0
807.866;30.71;28.83;1663.4546;400;82;0;0;0;0
812.929;30.680872;28.457827;1581.3043;400;73.347824;0;0;0;0
818.218;30.682732;27.724543;1133.591;400;48;0;0;0;0
823.399;30.64696;25.56869;869.3913;400;31.782608;0;0;0;0
828.599;30.58087;24.679565;751.2174;400;11.782609;0;0;0;0
833.68;30.553913;24.361742;680.3913;400;1.7826087;0;0;0;0
838.875;30.490908;24.05;618.2727;400;2.3636363;0;0;0;0
843.962;30.434351;23.96435;490.43478;400;0.7826087;0;0;0;0
849.17;30.400002;23.862726;376.31818;400;1.1818181;0;0;0;0
854.37;30.376518;23.830873;351.6087;400;1.3913044;0;0;0;0
859.666;30.350864;23.73826;332.65216;400;3.0869565;0;0;0;0
865.096;30.316961;23.692171;312;400;2.6086957;0;0;0;0
870.112;30.275717;23.745718;306.42856;400;2.5714285;0;0;0;0
875.367;30.235193;23.769598;303.56;400;4.16;0;0;0;0
880.412;30.225647;23.76913;297.17392;400;4.652174;0;0;0;0
885.68;30.20636;23.766823;291.45456;400;3;0;0;0;0
890.795;30.173037;23.768261;285.30435;400;3.6086957;0;0;0;0
895.862;30.151745;23.761303;279.13043;400;3.7826087;0;0;0;0
900.924;30.138641;23.762268;273.86365;400;3.7272727;0;0;0;0
906.112;30.115448;23.810907;269.86365;400;6.5;0;0;0;0
911.131;30.100428;23.827826;266.82608;400;6.130435;0;0;0;0
916.328;30.070002;23.840456;262.54544;400;7.2727275;0;0;0;0
921.417;30.042175;23.862612;259.91306;400;3.3913043;0;0;0;0
926.609;30.040905;23.876362;257.27274;400;2.8636363;0;0;0;0
931.912;30.015657;23.894789;256.34784;400;10.73913;0;0;0;0
937.108;30.002172;23.88826;254.30435;400;5.3913045;0;0;0;0
942.312;29.984783;23.905655;252.73914;400;10.173913;0;0;0;0
947.615;29.961744;23.895224;251.78261;400;7;0;0;0;0
952.814;29.946526;23.95;252.30435;400;7.173913;0;0;0;0
958.111;29.920008;24.003912;247.13043;400;8.695652;0;0;0;0
963.308;29.806086;24.160435;244.52174;400;12.869565;0;0;0;0
968.517;29.704779;24.46261;248.43478;400;16.043478;0;0;0;0
973.82;29.627382;24.699133;253.21739;400;27.130434;0;0;0;0
979.024;29.597824;24.863478;260.52173;400;31.47826;0;0;0;0
984.026;29.546528;25.015219;265.3913;400;37.130436;0;0;0;0
989.236;29.524548;25.07;270;400;39.909092;0;0;0;0
994.242;29.492603;25.035215;270.34784;400;42.086956;0;0;0;0
999.355;29.452734;25.054548;272.81818;400;49.954544;0;0;0;0
1004.361;29.424091;25.176363;274.5909;400;52.272728;0;0;0;0
1009.37;29.39273;25.26454;276;400;51.045456;0;0;0;0
1014.388;29.34909;25.263182;278.27274;400;55.31818;0;0;0;0
1019.406;29.303637;25.109999;280.04544;400;61.090908;0;0;0;0
1024.636;29.287739;25.249542;281.22726;400;61.227272;0;0;0;0
1029.65;29.260439;25.340439;282.3913;400;63.95652;0;0;0;0
1034.67;29.25364;25.400005;283.95456;400;63.272728;0;0;0;0
1039.904;29.234547;25.432728;284.81818;400;66.681816;0;0;0;0
1044.923;29.210001;25.43739;286.34784;400;70.26087;0;0;0;0
1050.157;29.19182;25.61545;288.45456;400;73.318184;0;0;0;0
1055.4;29.177383;25.563482;289.21738;400;73.391304;0;0;0;0
1060.641;29.159994;25.579561;290.3913;400;79.08696;0;0;0;0
1065.879;29.143045;25.551302;291.13043;400;80.478264;0;0;0;0
1071.122;29.141743;25.60174;292.69565;400;82.608696;0;0;0;0
1076.364;29.125658;25.645216;294.30435;400;83.652176;0;0;0;0
1081.611;29.131735;25.69348;295.6087;400;85.565216;0;0;0;0
1086.762;29.119997;25.770433;296.78262;400;85.04348;0;0;0;0
1091.801;29.108698;25.811304;297.6087;400;85.86957;0;0;0;0
1096.84;29.090004;25.75772;299.68182;400;91.40909;0;0;0;0
1101.878;29.071356;25.853636;300;400;92.954544;0;0;0;0
1107.031;29.06909;25.930456;301.45456;400;90.454544;0;0;0;0
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
1132.623;29.143635;25.613634;342.9091;400;;0;0;0;0
1137.671;29.138184;25.63;345.04544;400;;0;0;0;0
1142.828;29.127266;25.68545;346.63635;400;98.86364;0;0;0;0
1147.879;29.111736;25.610428;347.73914;400;;0;0;0;0
1152.935;29.114544;25.67228;348.0909;400;97.63636;0;0;0;0
1158.104;29.10818;25.612274;350;400;97.40909;0;0;0;0
1163.162;29.106522;25.9013;350.78262;400;95.95652;0;0;0;0
1168.431;29.127272;26.539095;363.0909;400;88.59091;0;0;0;0
1173.595;29.153475;26.725212;404.17392;400;88.565216;0;0;0;0
1178.663;29.159138;26.51783;503.0435;400;96.652176;0;0;0;0
1183.834;29.140911;25.92;497.95456;400;102.77273;0;0;0;0
1188.903;29.127382;25.702175;463.6087;400;98.304344;0;0;0;0
1194.08;29.11545;25.739546;445.63635;400;98.818184;0;0;0;0
1199.16;29.120869;25.88174;427.47827;400;99.521736;0;0;0;0
1204.342;29.128181;25.89636;407;400;102.90909;0;0;0;0
1209.655;29.104345;25.686956;385.47827;400;103;0;0;0;0
1214.657;29.126524;25.796083;379.9565;400;101.95652;0;0;0;0
1219.666;29.12682;26.046364;378;400;98.09091;0;0;0;0
1224.879;29.13454;25.91046;375.27274;400;103.22727;0;0;0;0
1229.885;29.117392;25.84696;375.73914;400;102.434784;0;0;0;0
1234.914;29.096361;25.845;374.77274;400;98.954544;0;0;0;0
1239.972;29.084545;25.745455;371.81818;400;102.22727;0;0;0;0
1245.135;29.084547;25.77273;368.63635;400;102.27273;0;0;0;0
1250.151;29.10348;25.841734;367.0435;400;99.86957;0;0;0;0
1255.2;29.11363;25.886816;365.31818;400;101.5;0;0;0;0
1260.215;29.109093;26.14591;367.31818;400;102.318184;0;0;0;0
1265.237;29.09818;26.260908;370.22726;400;103.181816;0;0;0;0
1270.264;29.106361;26.11136;372;400;101.454544;0;0;0;0
1275.288;29.110912;25.940912;371.63635;400;95.681816;0;0;0;0
1280.478;29.096813;25.953636;370.04544;400;103.36364;0;0;0;0
1285.51;29.095648;25.953472;370.21738;400;102.26087;0;0;0;0
1290.547;29.092278;26.023186;371.36365;400;101.77273;0;0;0;0
1295.786;29.089546;26.17273;372.04544;400;103.63636;0;0;0;0
1301.03;29.086088;26.049568;373.21738;400;107.478264;0;0;0;0
1306.265;29.093472;26.020868;374.34784;400;103.04348;0;0;0;0
1311.293;29.094347;26.0026;375;400;98.565216;0;0;0;0
1316.442;29.115448;26.035461;374.31818;400;98.86364;0;0;0;0
