Zeit;Temperatur;Luftfeuchte;CO2;eCO2;TVOC;PM1;PM2.5;PM4;PM10
2037.427;28.87043;26.28435;308.3913;400;44.086956;0;0;0;0
2042.485;28.859083;26.424095;307.22726;400;43.909092;0;0;0;0
2047.504;28.867271;26.372267;306.13635;400;47.590908;0;0;0;0
2052.51;28.867731;26.35;305.27274;400;45.81818;0;0;0;0
2057.512;28.880003;26.396818;303.72726;400;40.909092;0;0;0;0
2062.687;28.87591;26.366364;303;400;44.272728;0;0;0;0
2067.776;28.870434;26.41522;302.86957;400;44.04348;0;0;0;0
2072.941;28.860912;26.407276;302;400.04544;47.045456;0;0;0;0
2077.993;28.862167;26.431747;302.43478;400;49.869564;0;0;0;0
2083.04;28.877275;26.443634;302.54544;400;46.31818;0;0;0;0
2088.196;28.856823;26.461823;303;400.18182;44.863636;0;0;0;0
2093.23;28.86434;26.463915;302.21738;400.69565;46.782608;0;0;0;0
2098.312;28.87318;26.641815;302;401.72726;46.18182;0;0;0;0
2103.471;28.865448;26.652271;302;401.4091;45.5;0;0;0;0
2108.529;28.861736;26.531738;301.6087;400.21738;43.913044;0;0;0;0
2113.715;28.867268;26.423637;301;402.45456;48.454544;0;0;0;0
2118.786;28.85;26.497395;301;400.17392;45.434784;0;0;0;0
2123.978;28.850006;26.423643;301;401.72726;47.5;0;0;0;0
2129.012;28.84522;26.432611;300.91306;401.21738;44.52174;0;0;0;0
2134.232;28.849998;26.402733;299.77274;401.36365;45.954544;0;0;0;0
2139.315;28.849997;26.398695;299;407.34784;49.130436;0;0;0;0
2144.518;28.849092;26.458183;299.5;403.36365;51.090908;0;0;0;0
2149.718;28.846518;26.489557;299.73914;402.21738;50.826088;0;0;0;0
2154.809;28.828701;26.471306;298.6087;400;48.52174;0;0;0;0
2160.034;28.837275;26.430464;298;400.45456;47.272728;0;0;0;0
2165.238;28.833918;26.488256;297.73914;402.43478;47.217392;0;0;0;0
2170.458;28.835218;26.527824;297;402.86957;43.304348;0;0;0;0
2175.581;28.82696;26.449125;296.3913;408.0435;45.652172;0;0;0;0
2180.807;28.838184;26.464092;296;411.36365;48.772728;0;0;0;0
2186.04;28.816961;26.552172;295.56522;406.34784;49.086956;0;0;0;0
2191.277;28.826963;26.646093;296;407.30435;45.739132;0;0;0;0
2196.515;28.840006;26.64;296;405.91306;46.304348;0;0;0;0
2201.761;28.835224;26.653051;296;411.65216;46.04348;0;0;0;0
2206.956;28.833912;26.583477;296;410.78262;48.782608;0;0;0;0
2212.177;28.820005;26.590433;296.43478;409.78262;45;0;0;0;0
2217.197;28.827827;26.689133;297.21738;415.30435;48.217392;0;0;0;0
2222.224;28.829546;26.660456;298;413.95456;49.909092;0;0;0;0
2227.247;28.831362;26.678633;298;408.86365;51.31818;0;0;0;0
2232.257;28.837275;26.622725;297.86365;407.5909;47.68182;0;0;0;0
2237.282;28.823631;26.619997;297;417.5;50.18182;0;0;0;0
2242.319;28.833643;26.595453;297;413.36365;54.272728;0;0;0;0
2247.358;28.808641;26.575005;297;416.18182;56.227272;0;0;0;0
2252.515;28.825909;26.696821;297.22726;417.95456;52.727272;0;0;0;0
2257.735;28.823044;26.794785;298;420.65216;56.304348;0;0;0;0
2262.799;28.831306;26.6613;298;406.26086;56.086956;0;0;0;0
2267.831;28.817732;26.762726;297.31818;401.77274;49;0;0;0;0
2273.036;28.838177;26.744549;297;402.0909;46.5;0;0;0;0
2278.119;28.846083;26.78652;297;408.30435;44.47826;0;0;0;0
2283.284;28.840912;26.720003;296.77274;409.31818;50.363636;0;0;0;0
2288.322;28.842615;26.696093;296;402.86957;45.217392;0;0;0;0
2293.341;28.867725;26.821814;295.5;401.95456;43.227272;0;0;0;0
2298.379;28.861818;26.81591;294.13635;402.31818;39.954544;0;0;0;0
2303.588;28.869997;26.87682;293;403.31818;40.81818;0;0;0;0
2308.824;28.873913;26.855654;293;400.52173;44.52174;0;0;0;0
2313.862;28.878698;26.796083;293;400.21738;42.217392;0;0;0;0
2319.031;28.88637;26.92727;293;400.0909;39.31818;0;0;0;0
2324.085;28.897825;26.789562;292.08694;400.17392;39.52174;0;0;0;0
2329.126;28.899096;26.785454;292;400.36365;35.81818;0;0;0;0
2334.149;28.90909;26.68318;292;401.22726;36.68182;0;0;0;0
2339.309;28.91864;26.675;292.5;402.68182;36.863636;0;0;0;0
2344.327;28.89783;26.784777;293.21738;402.34784;36;0;0;0;0
2349.357;28.909998;26.702276;294;401.77274;36.31818;0;0;0;0
2354.37;28.937727;26.723175;294.45456;401.5;30.181818;0;0;0;0
2359.386;28.930452;26.710915;295;401;33.045456;0;0;0;0
2364.406;28.930914;26.599085;295.72726;400.27274;27.954546;0;0;0;0
2369.462;28.93091;26.560461;295.13635;400.31818;20.318182;0;0;0;0
2374.662;28.944092;26.585;295.4091;401.45456;24.40909;0;0;0;0
2379.867;28.950434;26.700432;295.3913;400.43478;23.52174;0;0;0;0
2384.901;28.954353;26.713045;295;400.3913;24.565218;0;0;0;0
2389.929;28.95409;26.700453;295;402.4091;17.227272;0;0;0;0
2394.961;28.962278;26.570002;295;403.27274;25.954546;0;0;0;0
2400.171;28.953642;26.541822;295;401.86365;23.772728;0;0;0;0
2405.23;28.977392;26.598694;295.52173;406.91306;25.782608;0;0;0;0
2410.407;28.978174;26.824993;296.68182;405.81818;25.5;0;0;0;0
2415.466;28.950874;26.819565;297.82608;404.82608;22.956522;0;0;0;0
2420.643;28.978636;26.960905;298.63635;416.5909;25.863636;0;0;0;0
2425.712;28.994349;26.897825;300.65216;410.08694;27.52174;0;0;0;0
2430.753;28.989996;26.627728;301.81818;408.4091;27.90909;0;0;0;0
2435.773;28.998182;26.545;302.5909;405.95456;25.318182;0;0;0;0
